timestamp_iso,jobid,last_sync_epoch,now_epoch,age_seconds,state,fail_count
"2026-04-25T08:40:22Z","162-1",1777106407,"1777106422",15,"unknown",0
"2026-04-25T08:40:33Z","162-0",1777106404,"1777106433",29,"unknown",0
"2026-04-25T08:40:33Z","162-1",1777106407,"1777106433",26,"unknown",0
"2026-04-25T08:40:43Z","162-0",1777106404,"1777106443",39,"unknown",0
"2026-04-25T08:40:43Z","162-1",1777106407,"1777106443",36,"unknown",0
"2026-04-25T08:40:54Z","162-0",1777106404,"1777106454",50,"unknown",0
"2026-04-25T08:40:54Z","162-1",1777106407,"1777106454",47,"unknown",0
"2026-04-25T08:41:05Z","162-0",1777106404,"1777106465",61,"unknown",0
"2026-04-25T08:41:05Z","162-1",1777106407,"1777106465",58,"unknown",0
"2026-04-25T08:41:16Z","162-0",1777106464,"1777106476",12,"unknown",0
"2026-04-25T08:41:16Z","162-1",1777106467,"1777106476",9,"unknown",0
"2026-04-25T08:41:26Z","162-0",1777106464,"1777106486",22,"unknown",0
"2026-04-25T08:41:26Z","162-1",1777106467,"1777106486",19,"unknown",0
"2026-04-25T08:41:37Z","162-0",1777106464,"1777106497",33,"unknown",0
"2026-04-25T08:41:37Z","162-1",1777106467,"1777106497",30,"unknown",0
"2026-04-25T08:41:48Z","162-0",1777106464,"1777106508",44,"unknown",0
"2026-04-25T08:41:48Z","162-1",1777106467,"1777106508",41,"unknown",0
"2026-04-25T08:41:59Z","162-0",1777106464,"1777106519",55,"unknown",0
"2026-04-25T08:41:59Z","162-1",1777106467,"1777106519",52,"unknown",0
"2026-04-25T08:42:10Z","162-0",1777106524,"1777106530",6,"unknown",0
"2026-04-25T08:42:10Z","162-1",1777106526,"1777106530",4,"unknown",0
"2026-04-25T08:42:21Z","162-0",1777106524,"1777106541",17,"unknown",0
"2026-04-25T08:42:21Z","162-1",1777106526,"1777106541",15,"unknown",0
"2026-04-25T08:42:31Z","162-0",1777106524,"1777106551",27,"unknown",0
"2026-04-25T08:42:31Z","162-1",1777106526,"1777106551",25,"unknown",0
"2026-04-25T08:42:42Z","162-0",1777106524,"1777106562",38,"unknown",0
"2026-04-25T08:42:42Z","162-1",1777106526,"1777106562",36,"unknown",0
"2026-04-25T08:42:53Z","162-0",1777106524,"1777106573",49,"unknown",0
"2026-04-25T08:42:53Z","162-1",1777106526,"1777106573",47,"unknown",0
"2026-04-25T08:43:04Z","162-0",1777106524,"1777106584",60,"unknown",0
"2026-04-25T08:43:04Z","162-1",1777106526,"1777106584",58,"unknown",0
"2026-04-25T08:43:15Z","162-0",1777106584,"1777106595",11,"unknown",0
"2026-04-25T08:43:15Z","162-1",1777106586,"1777106595",9,"unknown",0
"2026-04-25T08:43:26Z","162-0",1777106584,"1777106606",22,"unknown",0
"2026-04-25T08:43:26Z","162-1",1777106586,"1777106606",20,"unknown",0
"2026-04-25T08:43:36Z","162-0",1777106584,"1777106616",32,"unknown",0
"2026-04-25T08:43:36Z","162-1",1777106586,"1777106616",30,"unknown",0
"2026-04-25T08:43:47Z","162-0",1777106584,"1777106627",43,"unknown",0
"2026-04-25T08:43:47Z","162-1",1777106586,"1777106627",41,"unknown",0
"2026-04-25T08:43:58Z","162-0",1777106584,"1777106638",54,"unknown",0
"2026-04-25T08:43:58Z","162-1",1777106586,"1777106638",52,"unknown",0
"2026-04-25T08:44:09Z","162-0",1777106644,"1777106649",5,"unknown",0
"2026-04-25T08:44:09Z","162-1",1777106646,"1777106649",3,"unknown",0
"2026-04-25T08:44:19Z","162-0",1777106644,"1777106659",15,"unknown",0
"2026-04-25T08:44:19Z","162-1",1777106646,"1777106659",13,"unknown",0
"2026-04-25T08:44:30Z","162-0",1777106644,"1777106670",26,"unknown",0
"2026-04-25T08:44:30Z","162-1",1777106646,"1777106670",24,"unknown",0
"2026-04-25T08:44:41Z","162-0",1777106644,"1777106681",37,"unknown",0
"2026-04-25T08:44:41Z","162-1",1777106646,"1777106681",35,"unknown",0
"2026-04-25T08:44:52Z","162-0",1777106644,"1777106692",48,"unknown",0
"2026-04-25T08:44:52Z","162-1",1777106646,"1777106692",46,"unknown",0
"2026-04-25T08:45:03Z","162-0",1777106644,"1777106703",59,"unknown",0
"2026-04-25T08:45:03Z","162-1",1777106646,"1777106703",57,"unknown",0
"2026-04-25T08:45:14Z","162-0",1777106704,"1777106714",10,"unknown",0
