lo               UNKNOWN        00:00:00:00:00:00 <LOOPBACK,UP,LOWER_UP> 
enp1s0           UP             00:d0:4c:10:41:d4 <BROADCAST,MULTICAST,UP,LOWER_UP> 
enp2s0           DOWN           00:d0:4c:10:41:d5 <BROADCAST,MULTICAST> 
enp3s0           DOWN           00:d0:4c:10:41:d6 <BROADCAST,MULTICAST> 
enp4s0           DOWN           00:d0:4c:10:41:d7 <BROADCAST,MULTICAST> 
vmbr0            UP             00:d0:4c:10:41:d4 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth151i0@if2    UP             fe:5d:48:5f:19:48 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth152i0@if2    UP             fe:e4:25:67:82:6b <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth153i0@if2    UP             fe:4b:c3:bd:1a:47 <BROADCAST,MULTICAST,UP,LOWER_UP> 
veth105i0@if2    UP             fe:46:b2:17:28:33 <BROADCAST,MULTICAST,UP,LOWER_UP> 
